Running with width=512, lr=0.00390625
----------------------------------
SLURM_JOB_NODELIST: jrc0329
MASTER_ADDR:MASTER_PORT=10.14.3.19:9469
----------------------------------
[2024-12-10 18:52:33,838] torch.distributed.run: [WARNING] master_addr is only used for static rdzv_backend and when rdzv_endpoint is not specified.
[2024-12-10 18:52:33,838] torch.distributed.run: [WARNING] 
[2024-12-10 18:52:33,838] torch.distributed.run: [WARNING] *****************************************
[2024-12-10 18:52:33,838] torch.distributed.run: [WARNING] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
[2024-12-10 18:52:33,838] torch.distributed.run: [WARNING] *****************************************
[W socket.cpp:436] [c10d] The server socket cannot be initialized on [::]:9469 (errno: 97 - Address family not supported by protocol).
[W socket.cpp:663] [c10d] The client socket cannot be initialized to connect to [jrc0329i.jureca]:9469 (errno: 97 - Address family not supported by protocol).
Overriding: out_dir = out/width_512_lr_0.00390625/
Overriding: n_head = 8
Overriding: n_embd = 512
Overriding: learning_rate = 0.00390625
[W socket.cpp:663] [c10d] The client socket cannot be initialized to connect to [jrc0329.jureca]:39221 (errno: 97 - Address family not supported by protocol).
Overriding: out_dir = out/width_512_lr_0.00390625/
Overriding: n_head = 8
Overriding: n_embd = 512
Overriding: learning_rate = 0.00390625
[W socket.cpp:436] [c10d] The server socket cannot be initialized on [::]:39221 (errno: 97 - Address family not supported by protocol).
Overriding: out_dir = out/width_512_lr_0.00390625/
Overriding: n_head = 8
Overriding: n_embd = 512
Overriding: learning_rate = 0.00390625
[W socket.cpp:663] [c10d] The client socket cannot be initialized to connect to [jrc0329.jureca]:39221 (errno: 97 - Address family not supported by protocol).
[W socket.cpp:663] [c10d] The client socket cannot be initialized to connect to [jrc0329.jureca]:39221 (errno: 97 - Address family not supported by protocol).
Overriding: out_dir = out/width_512_lr_0.00390625/
Overriding: n_head = 8
Overriding: n_embd = 512
Overriding: learning_rate = 0.00390625
[W socket.cpp:663] [c10d] The client socket cannot be initialized to connect to [jrc0329.jureca]:39221 (errno: 97 - Address family not supported by protocol).
tokens per iteration will be: 491,520tokens per iteration will be: 491,520

Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
tokens per iteration will be: 491,520
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
tokens per iteration will be: 491,520
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
number of parameters: 63.52M
number of parameters: 63.52M
num decayed parameter tensors: 50, with 64,028,672 parameters
num non-decayed parameter tensors: 25, with 12,800 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
num decayed parameter tensors: 50, with 64,028,672 parameters
num non-decayed parameter tensors: 25, with 12,800 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
number of parameters: 63.52M
number of parameters: 63.52M
num decayed parameter tensors: 50, with 64,028,672 parameters
num non-decayed parameter tensors: 25, with 12,800 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
num decayed parameter tensors: 50, with 64,028,672 parameters
num non-decayed parameter tensors: 25, with 12,800 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 10.8806, val loss 10.8805
iter_num=0: train_lossf=10.8783, dt=86.388s, mfu=0.00%, tokens_per_sec=5,690
iter_num=219: train_lossf=6.2087, dt=0.572s, mfu=30.29%, tokens_per_sec=859,867
iter_num=220: train_lossf=6.0781, dt=0.569s, mfu=30.42%, tokens_per_sec=863,293
iter_num=221: train_lossf=6.1948, dt=0.936s, mfu=29.30%, tokens_per_sec=525,115
iter_num=222: train_lossf=6.0837, dt=0.560s, mfu=29.58%, tokens_per_sec=877,356
iter_num=223: train_lossf=6.2722, dt=0.589s, mfu=29.68%, tokens_per_sec=834,792
iter_num=224: train_lossf=6.2083, dt=0.673s, mfu=29.38%, tokens_per_sec=730,818
iter_num=225: train_lossf=6.1672, dt=0.569s, mfu=29.60%, tokens_per_sec=863,273
iter_num=226: train_lossf=6.2158, dt=0.707s, mfu=29.19%, tokens_per_sec=694,989
iter_num=227: train_lossf=6.1102, dt=0.696s, mfu=28.85%, tokens_per_sec=706,421
iter_num=228: train_lossf=5.9631, dt=0.572s, mfu=29.11%, tokens_per_sec=858,790
iter_num=229: train_lossf=6.2191, dt=0.570s, mfu=29.35%, tokens_per_sec=862,036
iter_num=230: train_lossf=5.9771, dt=0.573s, mfu=29.56%, tokens_per_sec=858,510
iter_num=231: train_lossf=6.3729, dt=0.724s, mfu=29.09%, tokens_per_sec=679,157
iter_num=232: train_lossf=6.3120, dt=0.921s, mfu=28.13%, tokens_per_sec=533,575
iter_num=233: train_lossf=6.1741, dt=0.705s, mfu=27.87%, tokens_per_sec=697,619
iter_num=234: train_lossf=6.0680, dt=0.915s, mfu=27.05%, tokens_per_sec=537,035
iter_num=235: train_lossf=6.1264, dt=0.556s, mfu=27.58%, tokens_per_sec=884,278
iter_num=236: train_lossf=6.0806, dt=0.570s, mfu=27.98%, tokens_per_sec=862,888
iter_num=237: train_lossf=6.1626, dt=0.743s, mfu=27.60%, tokens_per_sec=661,222
iter_num=238: train_lossf=6.2364, dt=0.621s, mfu=27.74%, tokens_per_sec=792,001
iter_num=239: train_lossf=5.9654, dt=0.698s, mfu=27.54%, tokens_per_sec=704,002
iter_num=240: train_lossf=6.1624, dt=0.572s, mfu=27.93%, tokens_per_sec=859,121
iter_num=241: train_lossf=6.1314, dt=0.578s, mfu=28.24%, tokens_per_sec=849,883
iter_num=242: train_lossf=6.1474, dt=0.561s, mfu=28.63%, tokens_per_sec=876,347
iter_num=243: train_lossf=6.0577, dt=0.568s, mfu=28.93%, tokens_per_sec=865,642
iter_num=244: train_lossf=5.9869, dt=0.584s, mfu=29.12%, tokens_per_sec=841,437
iter_num=245: train_lossf=6.0648, dt=0.745s, mfu=28.62%, tokens_per_sec=660,062
iter_num=246: train_lossf=5.9048, dt=0.573s, mfu=28.90%, tokens_per_sec=857,783
iter_num=247: train_lossf=6.2656, dt=0.567s, mfu=29.18%, tokens_per_sec=866,940
iter_num=248: train_lossf=6.2561, dt=0.563s, mfu=29.46%, tokens_per_sec=873,392
iter_num=249: train_lossf=6.3379, dt=0.570s, mfu=29.66%, tokens_per_sec=862,120
iter_num=250: train_lossf=5.9763, dt=0.689s, mfu=29.31%, tokens_per_sec=713,215
iter_num=251: train_lossf=5.8869, dt=0.567s, mfu=29.55%, tokens_per_sec=866,482
iter_num=252: train_lossf=6.0055, dt=0.595s, mfu=29.61%, tokens_per_sec=825,518
iter_num=253: train_lossf=5.8986, dt=0.726s, mfu=29.13%, tokens_per_sec=677,466
iter_num=254: train_lossf=6.0184, dt=0.583s, mfu=29.30%, tokens_per_sec=843,351
iter_num=255: train_lossf=6.1252, dt=0.570s, mfu=29.53%, tokens_per_sec=862,252
iter_num=256: train_lossf=6.3954, dt=0.562s, mfu=29.77%, tokens_per_sec=874,622
iter_num=257: train_lossf=5.7921, dt=0.573s, mfu=29.93%, tokens_per_sec=857,382
iter_num=258: train_lossf=6.2693, dt=0.558s, mfu=30.17%, tokens_per_sec=881,554
iter_num=259: train_lossf=6.1497, dt=0.576s, mfu=30.27%, tokens_per_sec=853,469
iter_num=260: train_lossf=6.1070, dt=0.564s, mfu=30.43%, tokens_per_sec=870,969
iter_num=261: train_lossf=5.9218, dt=0.715s, mfu=29.90%, tokens_per_sec=687,906
iter_num=262: train_lossf=6.0521, dt=0.575s, mfu=30.04%, tokens_per_sec=855,349
iter_num=263: train_lossf=6.1040, dt=0.853s, mfu=29.15%, tokens_per_sec=576,266
iter_num=264: train_lossf=6.2220, dt=0.571s, mfu=29.38%, tokens_per_sec=860,498
iter_num=265: train_lossf=5.9133, dt=0.593s, mfu=29.47%, tokens_per_sec=828,570
iter_num=266: train_lossf=6.0666, dt=0.579s, mfu=29.63%, tokens_per_sec=848,725
iter_num=267: train_lossf=5.9744, dt=0.854s, mfu=28.77%, tokens_per_sec=575,346
iter_num=268: train_lossf=5.9096, dt=0.706s, mfu=28.44%, tokens_per_sec=696,011
iter_num=269: train_lossf=6.0112, dt=0.697s, mfu=28.18%, tokens_per_sec=704,879
iter_num=270: train_lossf=5.9898, dt=0.565s, mfu=28.54%, tokens_per_sec=869,963
iter_num=271: train_lossf=5.7936, dt=0.687s, mfu=28.31%, tokens_per_sec=715,867
iter_num=272: train_lossf=5.9074, dt=0.774s, mfu=27.80%, tokens_per_sec=634,859
iter_num=273: train_lossf=5.8839, dt=0.571s, mfu=28.17%, tokens_per_sec=860,571
iter_num=274: train_lossf=5.9545, dt=0.575s, mfu=28.48%, tokens_per_sec=854,611
iter_num=275: train_lossf=5.9387, dt=0.578s, mfu=28.74%, tokens_per_sec=850,441
iter_num=276: train_lossf=6.0941, dt=0.569s, mfu=29.03%, tokens_per_sec=864,564
iter_num=277: train_lossf=5.9003, dt=0.727s, mfu=28.60%, tokens_per_sec=676,153
iter_num=278: train_lossf=6.1325, dt=0.749s, mfu=28.14%, tokens_per_sec=656,345
iter_num=279: train_lossf=6.0840, dt=0.704s, mfu=27.88%, tokens_per_sec=697,785
iter_num=280: train_lossf=5.9241, dt=0.739s, mfu=27.53%, tokens_per_sec=665,388
iter_num=281: train_lossf=6.0473, dt=0.714s, mfu=27.29%, tokens_per_sec=688,277
iter_num=282: train_lossf=5.9420, dt=0.703s, mfu=27.12%, tokens_per_sec=699,319
iter_num=283: train_lossf=5.9842, dt=0.566s, mfu=27.59%, tokens_per_sec=868,124
iter_num=284: train_lossf=5.8495, dt=0.564s, mfu=28.02%, tokens_per_sec=871,403
iter_num=285: train_lossf=5.9304, dt=0.572s, mfu=28.36%, tokens_per_sec=859,089
iter_num=286: train_lossf=6.1044, dt=0.577s, mfu=28.64%, tokens_per_sec=851,972
iter_num=287: train_lossf=5.8339, dt=0.584s, mfu=28.85%, tokens_per_sec=840,933
iter_num=288: train_lossf=5.8914, dt=0.570s, mfu=29.12%, tokens_per_sec=862,593
iter_num=289: train_lossf=5.7668, dt=0.565s, mfu=29.39%, tokens_per_sec=869,331
iter_num=290: train_lossf=5.9311, dt=0.579s, mfu=29.56%, tokens_per_sec=849,328
iter_num=291: train_lossf=5.9074, dt=0.728s, mfu=29.07%, tokens_per_sec=675,595
iter_num=292: train_lossf=5.9809, dt=0.782s, mfu=28.47%, tokens_per_sec=628,583
iter_num=293: train_lossf=6.0072, dt=0.712s, mfu=28.15%, tokens_per_sec=690,601
iter_num=294: train_lossf=5.8676, dt=0.579s, mfu=28.44%, tokens_per_sec=848,969
iter_num=295: train_lossf=6.1296, dt=0.566s, mfu=28.77%, tokens_per_sec=868,601
iter_num=296: train_lossf=5.9703, dt=0.561s, mfu=29.10%, tokens_per_sec=876,577
iter_num=297: train_lossf=5.9399, dt=0.789s, mfu=28.47%, tokens_per_sec=623,132
iter_num=298: train_lossf=6.0105, dt=0.578s, mfu=28.74%, tokens_per_sec=850,718
iter_num=299: train_lossf=5.9341, dt=0.943s, mfu=27.77%, tokens_per_sec=521,322
iter_num=300: train_lossf=5.8334, dt=0.582s, mfu=28.08%, tokens_per_sec=844,076
iter_num=301: train_lossf=5.8572, dt=0.580s, mfu=28.37%, tokens_per_sec=847,612
iter_num=302: train_lossf=5.8274, dt=0.565s, mfu=28.72%, tokens_per_sec=869,217
iter_num=303: train_lossf=5.9158, dt=0.725s, mfu=28.33%, tokens_per_sec=678,313
iter_num=304: train_lossf=5.8587, dt=0.568s, mfu=28.66%, tokens_per_sec=865,618
iter_num=305: train_lossf=5.7813, dt=0.688s, mfu=28.41%, tokens_per_sec=714,290
iter_num=306: train_lossf=5.8428, dt=0.564s, mfu=28.75%, tokens_per_sec=870,974
iter_num=307: train_lossf=5.9310, dt=0.564s, mfu=29.07%, tokens_per_sec=871,241
iter_num=308: train_lossf=5.8709, dt=0.572s, mfu=29.30%, tokens_per_sec=859,022
iter_num=309: train_lossf=6.0058, dt=0.574s, mfu=29.51%, tokens_per_sec=856,527
iter_num=310: train_lossf=5.6729, dt=0.567s, mfu=29.73%, tokens_per_sec=867,358
iter_num=311: train_lossf=5.6744, dt=0.563s, mfu=29.95%, tokens_per_sec=873,130
iter_num=312: train_lossf=5.8778, dt=0.712s, mfu=29.48%, tokens_per_sec=690,116
iter_num=313: train_lossf=5.7366, dt=0.567s, mfu=29.70%, tokens_per_sec=867,033
iter_num=314: train_lossf=5.7207, dt=0.570s, mfu=29.89%, tokens_per_sec=862,478
iter_num=315: train_lossf=5.9522, dt=0.702s, mfu=29.46%, tokens_per_sec=700,573
iter_num=316: train_lossf=5.8901, dt=0.585s, mfu=29.59%, tokens_per_sec=840,612
iter_num=317: train_lossf=5.8612, dt=0.725s, mfu=29.11%, tokens_per_sec=677,567
iter_num=318: train_lossf=5.9831, dt=0.908s, mfu=28.18%, tokens_per_sec=541,529
iter_num=319: train_lossf=5.7855, dt=0.564s, mfu=28.55%, tokens_per_sec=870,904
iter_num=320: train_lossf=5.9191, dt=0.708s, mfu=28.23%, tokens_per_sec=693,794
iter_num=321: train_lossf=5.7410, dt=0.754s, mfu=27.80%, tokens_per_sec=652,160
iter_num=322: train_lossf=5.7831, dt=0.840s, mfu=27.16%, tokens_per_sec=584,835
iter_num=323: train_lossf=5.9863, dt=0.571s, mfu=27.59%, tokens_per_sec=860,392
iter_num=324: train_lossf=5.8337, dt=0.567s, mfu=28.00%, tokens_per_sec=866,441
iter_num=325: train_lossf=6.0157, dt=0.574s, mfu=28.33%, tokens_per_sec=856,029
iter_num=326: train_lossf=5.8945, dt=0.576s, mfu=28.62%, tokens_per_sec=853,468
iter_num=327: train_lossf=6.2463, dt=0.583s, mfu=28.85%, tokens_per_sec=843,706
iter_num=328: train_lossf=5.8768, dt=0.564s, mfu=29.15%, tokens_per_sec=871,351
iter_num=329: train_lossf=5.6933, dt=0.567s, mfu=29.41%, tokens_per_sec=867,020
iter_num=330: train_lossf=5.6254, dt=0.722s, mfu=28.95%, tokens_per_sec=680,312
iter_num=331: train_lossf=5.7329, dt=0.658s, mfu=28.79%, tokens_per_sec=746,506
iter_num=332: train_lossf=5.6962, dt=0.560s, mfu=29.12%, tokens_per_sec=877,035
iter_num=333: train_lossf=5.7413, dt=0.749s, mfu=28.61%, tokens_per_sec=655,941
iter_num=334: train_lossf=5.9208, dt=0.716s, mfu=28.26%, tokens_per_sec=686,234
iter_num=335: train_lossf=5.6884, dt=0.571s, mfu=28.58%, tokens_per_sec=860,772
iter_num=336: train_lossf=5.7511, dt=0.725s, mfu=28.20%, tokens_per_sec=677,925
iter_num=337: train_lossf=6.0987, dt=0.572s, mfu=28.53%, tokens_per_sec=858,872
iter_num=338: train_lossf=5.6057, dt=0.692s, mfu=28.27%, tokens_per_sec=710,239
iter_num=339: train_lossf=5.4262, dt=0.565s, mfu=28.63%, tokens_per_sec=870,003
iter_num=340: train_lossf=5.8253, dt=0.560s, mfu=28.98%, tokens_per_sec=878,000
iter_num=341: train_lossf=5.6499, dt=0.579s, mfu=29.19%, tokens_per_sec=849,348
iter_num=342: train_lossf=5.7205, dt=0.560s, mfu=29.48%, tokens_per_sec=877,074
iter_num=343: train_lossf=5.7239, dt=0.558s, mfu=29.75%, tokens_per_sec=881,479
iter_num=344: train_lossf=5.6220, dt=0.565s, mfu=29.96%, tokens_per_sec=869,910
iter_num=345: train_lossf=5.6098, dt=0.742s, mfu=29.39%, tokens_per_sec=662,704
iter_num=346: train_lossf=5.7660, dt=0.573s, mfu=29.59%, tokens_per_sec=857,562
iter_num=347: train_lossf=5.7514, dt=0.589s, mfu=29.68%, tokens_per_sec=833,808
iter_num=348: train_lossf=5.8753, dt=0.570s, mfu=29.87%, tokens_per_sec=862,606
iter_num=349: train_lossf=5.6949, dt=0.556s, mfu=30.12%, tokens_per_sec=883,975
iter_num=350: train_lossf=5.6980, dt=0.569s, mfu=30.26%, tokens_per_sec=863,344
iter_num=351: train_lossf=5.9837, dt=0.562s, mfu=30.44%, tokens_per_sec=875,197
iter_num=352: train_lossf=5.7811, dt=0.563s, mfu=30.59%, tokens_per_sec=872,264
iter_num=353: train_lossf=5.9416, dt=0.556s, mfu=30.76%, tokens_per_sec=883,950
iter_num=354: train_lossf=5.7853, dt=0.566s, mfu=30.86%, tokens_per_sec=868,841
iter_num=355: train_lossf=5.5643, dt=0.565s, mfu=30.96%, tokens_per_sec=870,128
iter_num=356: train_lossf=5.8822, dt=0.743s, mfu=30.29%, tokens_per_sec=661,721
iter_num=357: train_lossf=5.6438, dt=0.573s, mfu=30.39%, tokens_per_sec=857,499
iter_num=358: train_lossf=5.5795, dt=0.567s, mfu=30.53%, tokens_per_sec=867,299
iter_num=359: train_lossf=5.7188, dt=0.579s, mfu=30.58%, tokens_per_sec=849,157
iter_num=360: train_lossf=5.5015, dt=0.559s, mfu=30.74%, tokens_per_sec=878,966
iter_num=361: train_lossf=5.7705, dt=0.761s, mfu=30.03%, tokens_per_sec=646,180
iter_num=362: train_lossf=5.8413, dt=0.709s, mfu=29.56%, tokens_per_sec=693,503
iter_num=363: train_lossf=5.4101, dt=0.566s, mfu=29.79%, tokens_per_sec=869,042
iter_num=364: train_lossf=5.4128, dt=0.569s, mfu=29.97%, tokens_per_sec=864,387
iter_num=365: train_lossf=5.8511, dt=0.574s, mfu=30.11%, tokens_per_sec=856,178
iter_num=366: train_lossf=5.5328, dt=0.566s, mfu=30.28%, tokens_per_sec=869,086
iter_num=367: train_lossf=5.7921, dt=0.741s, mfu=29.68%, tokens_per_sec=663,624
iter_num=368: train_lossf=5.6768, dt=0.564s, mfu=29.90%, tokens_per_sec=871,805
iter_num=369: train_lossf=5.6975, dt=0.574s, mfu=30.04%, tokens_per_sec=856,284
iter_num=370: train_lossf=5.5911, dt=0.574s, mfu=30.17%, tokens_per_sec=855,840
iter_num=371: train_lossf=5.7633, dt=0.574s, mfu=30.28%, tokens_per_sec=856,435
iter_num=372: train_lossf=5.6623, dt=0.574s, mfu=30.39%, tokens_per_sec=856,416
iter_num=373: train_lossf=5.7430, dt=0.566s, mfu=30.53%, tokens_per_sec=868,990
iter_num=374: train_lossf=5.7135, dt=0.693s, mfu=30.07%, tokens_per_sec=709,265
iter_num=375: train_lossf=5.5909, dt=0.571s, mfu=30.21%, tokens_per_sec=861,011
iter_num=376: train_lossf=5.9262, dt=0.564s, mfu=30.38%, tokens_per_sec=871,764
iter_num=377: train_lossf=5.7109, dt=0.713s, mfu=29.87%, tokens_per_sec=689,483
iter_num=378: train_lossf=5.6449, dt=0.570s, mfu=30.03%, tokens_per_sec=861,631
iter_num=379: train_lossf=5.5429, dt=0.585s, mfu=30.10%, tokens_per_sec=840,538
iter_num=380: train_lossf=5.6947, dt=0.568s, mfu=30.26%, tokens_per_sec=865,424
iter_num=381: train_lossf=5.6335, dt=0.575s, mfu=30.36%, tokens_per_sec=855,162
iter_num=382: train_lossf=5.7340, dt=0.579s, mfu=30.43%, tokens_per_sec=848,720
iter_num=383: train_lossf=5.7585, dt=0.714s, mfu=29.91%, tokens_per_sec=688,558
iter_num=384: train_lossf=5.8602, dt=0.564s, mfu=30.10%, tokens_per_sec=870,791
iter_num=385: train_lossf=5.4477, dt=0.573s, mfu=30.23%, tokens_per_sec=858,090
iter_num=386: train_lossf=5.7683, dt=0.556s, mfu=30.44%, tokens_per_sec=884,002
iter_num=387: train_lossf=5.8184, dt=0.699s, mfu=29.97%, tokens_per_sec=702,851
iter_num=388: train_lossf=5.7128, dt=0.747s, mfu=29.38%, tokens_per_sec=657,974
iter_num=389: train_lossf=5.6459, dt=0.573s, mfu=29.58%, tokens_per_sec=857,608
iter_num=390: train_lossf=5.5456, dt=0.570s, mfu=29.77%, tokens_per_sec=861,676
iter_num=391: train_lossf=5.7727, dt=0.565s, mfu=29.98%, tokens_per_sec=869,462
iter_num=392: train_lossf=5.6129, dt=0.900s, mfu=28.98%, tokens_per_sec=546,262
iter_num=393: train_lossf=5.8700, dt=0.878s, mfu=28.13%, tokens_per_sec=559,724
iter_num=394: train_lossf=5.7153, dt=0.571s, mfu=28.47%, tokens_per_sec=860,942
iter_num=395: train_lossf=5.6088, dt=0.582s, mfu=28.71%, tokens_per_sec=844,146
iter_num=396: train_lossf=5.5947, dt=0.869s, mfu=27.91%, tokens_per_sec=565,520
iter_num=397: train_lossf=5.6833, dt=0.897s, mfu=27.12%, tokens_per_sec=548,144
iter_num=398: train_lossf=5.5712, dt=0.722s, mfu=26.90%, tokens_per_sec=681,101
iter_num=399: train_lossf=5.9675, dt=0.574s, mfu=27.34%, tokens_per_sec=856,038
iter_num=400: train_lossf=5.6796, dt=0.607s, mfu=27.57%, tokens_per_sec=809,230
iter_num=401: train_lossf=5.5233, dt=0.733s, mfu=27.27%, tokens_per_sec=670,646
iter_num=402: train_lossf=5.4616, dt=0.869s, mfu=26.61%, tokens_per_sec=565,397
iter_num=403: train_lossf=5.6061, dt=0.565s, mfu=27.13%, tokens_per_sec=870,009
iter_num=404: train_lossf=5.4778, dt=0.565s, mfu=27.60%, tokens_per_sec=869,941
iter_num=405: train_lossf=5.4450, dt=0.576s, mfu=27.96%, tokens_per_sec=853,025
iter_num=406: train_lossf=5.5090, dt=0.568s, mfu=28.33%, tokens_per_sec=865,435
iter_num=407: train_lossf=5.6940, dt=0.709s, mfu=28.03%, tokens_per_sec=692,822
iter_num=408: train_lossf=5.7815, dt=0.570s, mfu=28.39%, tokens_per_sec=862,793
iter_num=409: train_lossf=5.6863, dt=0.565s, mfu=28.73%, tokens_per_sec=869,612
iter_num=410: train_lossf=5.6291, dt=0.751s, mfu=28.25%, tokens_per_sec=654,231
iter_num=411: train_lossf=5.4934, dt=0.575s, mfu=28.55%, tokens_per_sec=855,276
iter_num=412: train_lossf=5.5007, dt=0.572s, mfu=28.85%, tokens_per_sec=860,045
iter_num=413: train_lossf=5.5619, dt=0.612s, mfu=28.90%, tokens_per_sec=803,715
iter_num=414: train_lossf=5.5711, dt=0.571s, mfu=29.16%, tokens_per_sec=860,924
iter_num=415: train_lossf=5.6184, dt=0.619s, mfu=29.15%, tokens_per_sec=793,819
iter_num=416: train_lossf=5.6454, dt=0.562s, mfu=29.43%, tokens_per_sec=874,828
iter_num=417: train_lossf=5.4590, dt=0.563s, mfu=29.69%, tokens_per_sec=873,322
iter_num=418: train_lossf=5.7303, dt=0.712s, mfu=29.24%, tokens_per_sec=690,111
iter_num=419: train_lossf=5.6633, dt=0.570s, mfu=29.47%, tokens_per_sec=862,173
iter_num=420: train_lossf=5.5829, dt=0.873s, mfu=28.59%, tokens_per_sec=562,915
iter_num=421: train_lossf=5.6482, dt=0.563s, mfu=28.92%, tokens_per_sec=873,229
iter_num=422: train_lossf=5.7082, dt=0.568s, mfu=29.20%, tokens_per_sec=865,478
iter_num=423: train_lossf=5.5798, dt=0.733s, mfu=28.73%, tokens_per_sec=670,655
iter_num=424: train_lossf=5.5741, dt=0.717s, mfu=28.36%, tokens_per_sec=685,348
iter_num=425: train_lossf=5.4772, dt=0.707s, mfu=28.07%, tokens_per_sec=694,784
iter_num=426: train_lossf=5.5262, dt=0.576s, mfu=28.39%, tokens_per_sec=853,419
iter_num=427: train_lossf=5.4828, dt=0.574s, mfu=28.68%, tokens_per_sec=856,205
iter_num=428: train_lossf=5.6626, dt=0.559s, mfu=29.03%, tokens_per_sec=879,191
iter_num=429: train_lossf=5.4449, dt=0.564s, mfu=29.32%, tokens_per_sec=871,884
iter_num=430: train_lossf=5.4594, dt=0.573s, mfu=29.52%, tokens_per_sec=858,461
iter_num=431: train_lossf=5.5036, dt=0.577s, mfu=29.69%, tokens_per_sec=851,133
iter_num=432: train_lossf=5.3629, dt=0.563s, mfu=29.91%, tokens_per_sec=873,519
iter_num=433: train_lossf=5.4285, dt=0.576s, mfu=30.05%, tokens_per_sec=853,599
iter_num=434: train_lossf=5.4133, dt=0.568s, mfu=30.21%, tokens_per_sec=865,737
iter_num=435: train_lossf=5.4642, dt=0.562s, mfu=30.39%, tokens_per_sec=874,132
iter_num=436: train_lossf=5.4067, dt=0.570s, mfu=30.50%, tokens_per_sec=861,801
iter_num=437: train_lossf=5.5187, dt=0.562s, mfu=30.65%, tokens_per_sec=875,084
iter_num=438: train_lossf=5.2637, dt=0.569s, mfu=30.75%, tokens_per_sec=864,147
iter_num=439: train_lossf=5.6819, dt=0.571s, mfu=30.82%, tokens_per_sec=860,553
iter_num=440: train_lossf=5.4493, dt=0.561s, mfu=30.94%, tokens_per_sec=875,653
iter_num=441: train_lossf=5.4805, dt=0.575s, mfu=30.97%, tokens_per_sec=854,356
iter_num=442: train_lossf=5.4965, dt=0.556s, mfu=31.11%, tokens_per_sec=884,263
iter_num=443: train_lossf=5.5094, dt=0.593s, mfu=31.04%, tokens_per_sec=829,464
iter_num=444: train_lossf=5.4326, dt=0.570s, mfu=31.09%, tokens_per_sec=862,972
iter_num=445: train_lossf=5.5211, dt=0.574s, mfu=31.12%, tokens_per_sec=857,022
iter_num=446: train_lossf=5.5374, dt=0.565s, mfu=31.19%, tokens_per_sec=869,593
iter_num=447: train_lossf=5.3732, dt=0.569s, mfu=31.23%, tokens_per_sec=864,432
iter_num=448: train_lossf=5.4428, dt=0.562s, mfu=31.31%, tokens_per_sec=874,356
iter_num=449: train_lossf=5.4536, dt=0.564s, mfu=31.36%, tokens_per_sec=870,763
iter_num=450: train_lossf=5.3893, dt=0.561s, mfu=31.43%, tokens_per_sec=876,259
iter_num=451: train_lossf=5.5043, dt=0.563s, mfu=31.48%, tokens_per_sec=872,266
iter_num=452: train_lossf=5.4559, dt=0.582s, mfu=31.42%, tokens_per_sec=844,567
iter_num=453: train_lossf=5.3401, dt=0.565s, mfu=31.46%, tokens_per_sec=870,209
iter_num=454: train_lossf=5.6398, dt=0.567s, mfu=31.49%, tokens_per_sec=866,940
iter_num=455: train_lossf=5.5766, dt=0.563s, mfu=31.53%, tokens_per_sec=873,260
iter_num=456: train_lossf=5.3176, dt=0.574s, mfu=31.51%, tokens_per_sec=855,822
iter_num=457: train_lossf=5.1536, dt=0.558s, mfu=31.58%, tokens_per_sec=880,078
iter_num=458: train_lossf=5.7529, dt=0.579s, mfu=31.53%, tokens_per_sec=849,146
iter_num=459: train_lossf=5.6165, dt=0.570s, mfu=31.53%, tokens_per_sec=862,230
iter_num=460: train_lossf=5.3273, dt=0.561s, mfu=31.58%, tokens_per_sec=876,369
iter_num=461: train_lossf=5.3369, dt=0.563s, mfu=31.62%, tokens_per_sec=873,398
iter_num=462: train_lossf=5.7564, dt=0.572s, mfu=31.60%, tokens_per_sec=858,824
iter_num=463: train_lossf=5.2352, dt=0.571s, mfu=31.59%, tokens_per_sec=861,106
iter_num=464: train_lossf=5.5226, dt=0.609s, mfu=31.38%, tokens_per_sec=806,745
iter_num=465: train_lossf=5.5093, dt=0.582s, mfu=31.33%, tokens_per_sec=843,963
iter_num=466: train_lossf=5.7018, dt=0.691s, mfu=30.80%, tokens_per_sec=711,069
iter_num=467: train_lossf=5.2882, dt=0.562s, mfu=30.92%, tokens_per_sec=874,500
iter_num=468: train_lossf=5.3588, dt=0.750s, mfu=30.23%, tokens_per_sec=655,403
iter_num=469: train_lossf=5.3653, dt=0.589s, mfu=30.26%, tokens_per_sec=834,798
iter_num=470: train_lossf=5.4209, dt=0.561s, mfu=30.44%, tokens_per_sec=875,736
iter_num=471: train_lossf=5.7756, dt=0.573s, mfu=30.53%, tokens_per_sec=858,335
iter_num=472: train_lossf=5.2955, dt=0.563s, mfu=30.67%, tokens_per_sec=872,734
iter_num=473: train_lossf=5.4904, dt=0.568s, mfu=30.77%, tokens_per_sec=864,831
